,연도,분류,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,학과수_전체,지원자_전체_계,입학자_전체_계,재적생_전체_계,재학생_전체_계,유예생_전체_계,휴학생_전체_계,외국인유학생_학사_계,전임교원_계,비전임교원_계,시간강사_계,직원_계,경도,위도,입학정원,모집인원_정원내,지원자_정원내,입학자_정원내,신입생_충원율
220,2020,university,방송통신대학,한국방송통신대학교,기존,본교,서울,서울 종로구,국립,주야간+원격,"서울특별시 종로구 대학로 86 (동숭동, 한국방송통신대학교)",34,16435,13161,144239,103314,0,40925,557,149,79,0,634,127.00266090000002,37.57846638,55050.0,55050.0,16040.0,13196.0,24.0
221,2020,university,산업대학,호원대학교,기존,본교,전북,전북 군산시,사립,주야간,"전라북도 군산시 임피면 호원대3길 64 (월하리, 호원대학교)",154,13855,1385,7034,5436,12,1586,73,163,331,0,95,126.8657842,35.96704032,1147.0,1111.0,13153.0,1105.0,99.5
222,2020,university,산업대학,청운대학교,기존,본교,충남,충남 홍성군,사립,주야간,"충청남도 홍성군 홍성읍 대학길 25 (남장리, 청운대학교)",91,11922,1439,8350,6468,41,1841,83,183,291,0,134,126.6645182,36.5823646,1241.0,1255.0,11264.0,1190.0,94.8
223,2020,university,기술대학,정석대학,기존,본교,서울,서울 강서구,사립,야간,"서울특별시 강서구 하늘길 260 (공항동, 대한항공)",2,31,31,60,58,0,2,0,0,37,0,0,126.81428329999999,37.54774545,25.0,100.0,31.0,31.0,31.0
224,2020,university,사이버대학(대학),경희사이버대학교,기존,본교,서울,서울 동대문구,사립,원격,"서울특별시 동대문구 경희대로 26 (회기동, 경희사이버대학교)",39,3532,2840,10786,9585,0,1201,138,53,364,0,113,127.05611280000001,37.59379956,3000.0,3000.0,2497.0,2009.0,67.0
225,2020,university,사이버대학(대학),국제사이버대학교,기존,본교,경기,경기 수원시,사립,원격,경기도 수원시 팔달구 경수대로 490 (인계동),5,1492,1035,3590,3119,0,471,2,16,117,0,34,127.02822309999999,37.26959395,900.0,900.0,1286.0,900.0,100.0
226,2020,university,사이버대학(대학),대구사이버대학교,기존,본교,경북,경북 경산시,사립,원격,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",13,2059,1474,5052,4038,0,1014,11,25,204,0,48,128.852735,35.89803204,1500.0,1500.0,1851.0,1150.0,76.7
227,2020,university,사이버대학(대학),부산디지털대학교,기존,본교,부산,부산 사상구,사립,원격,"부산광역시 사상구 주례로 57 (주례동, 부산디지털대학교)",9,1109,808,2824,2366,0,458,1,20,63,0,34,129.00916809999998,35.14626054,1000.0,1000.0,1076.0,788.0,78.8
228,2020,university,사이버대학(대학),서울디지털대학교,기존,본교,서울,서울 강서구,사립,원격,"서울특별시 강서구 공항대로 424 (화곡동, 서울디지털대학교)",27,3169,1899,11485,9880,0,1605,47,53,225,0,63,126.85393619999999,37.55487670000001,3000.0,1800.0,2160.0,1192.0,66.2
229,2020,university,사이버대학(대학),서울사이버대학교,기존,본교,서울,서울 강북구,사립,원격,"서울특별시 강북구 솔매로49길 60 (미아동, 서울사이버대학교)",32,6180,3908,13418,11947,0,1471,60,59,310,0,84,127.0275159,37.62979963,3270.0,3270.0,4049.0,2702.0,82.6
230,2020,university,사이버대학(대학),세종사이버대학교 ,기존,본교,서울,서울 광진구,사립,원격,"서울특별시 광진구 군자로 121 (군자동, 세종사이버대학)",35,4703,2794,9674,8805,0,869,41,34,265,0,67,127.0726344,37.55338096,,,,,
